"lat","lon","depth","starttime","energy","duration","date","day_of_year"
40.99,-122.78,27.5," 2011-06-03 13:15:00",0," None ",2011-06-03,154
40.99,-122.77,40," 2011-06-03 13:17:30",0," None ",2011-06-03,154
41,-122.84,38," 2011-06-03 13:20:00",0," None ",2011-06-03,154
40.96,-122.825,33," 2011-06-03 13:22:30",0," None ",2011-06-03,154
40.915,-122.93,20," 2011-06-03 13:25:00",0," None ",2011-06-03,154
40.92,-122.9,38," 2011-06-03 13:27:30",0," None ",2011-06-03,154
40.99,-122.83,40," 2011-06-03 13:32:30",0," None ",2011-06-03,154
40.94,-122.9,32.5," 2011-06-03 13:47:30",0," None ",2011-06-03,154
40.91,-122.9,20," 2011-06-03 14:02:30",0," None ",2011-06-03,154
40.84,-122.69,50," 2011-06-03 14:05:00",0," None ",2011-06-03,154
40.9,-122.65,20," 2011-06-03 14:25:00",0," None ",2011-06-03,154
40.68,-123.12,60," 2011-06-03 14:37:30",0," None ",2011-06-03,154
40.64,-122.85,20," 2011-06-03 14:52:30",0," None ",2011-06-03,154
40.62,-122.89,20," 2011-06-03 14:55:00",0," None ",2011-06-03,154
40.72,-122.97,34," 2011-06-03 15:00:00",0," None ",2011-06-03,154
40.86,-123.04,24.5," 2011-06-03 15:02:30",0," None ",2011-06-03,154
40.7,-122.77,49," 2011-06-03 15:27:30",0," None ",2011-06-03,154
40.74,-122.71,60," 2011-06-03 15:30:00",0," None ",2011-06-03,154
41.1,-122.985,48," 2011-06-03 15:35:00",0," None ",2011-06-03,154
40.895,-122.89,37.5," 2011-06-03 15:37:30",0," None ",2011-06-03,154
40.91,-122.89,20," 2011-06-03 15:40:00",0," None ",2011-06-03,154
40.82,-122.79,20," 2011-06-03 15:42:30",0," None ",2011-06-03,154
40.87,-122.92,22.5," 2011-06-03 15:45:00",0," None ",2011-06-03,154
40.94,-122.8,31," 2011-06-03 15:47:30",0," None ",2011-06-03,154
40.985,-122.83,20," 2011-06-03 15:50:00",0," None ",2011-06-03,154
40.96,-122.79,34," 2011-06-03 15:52:30",0," None ",2011-06-03,154
40.97,-122.54,27," 2011-06-03 15:55:00",0," None ",2011-06-03,154
41.01,-122.89,36," 2011-06-03 16:00:00",0," None ",2011-06-03,154
40.99,-122.64,49," 2011-06-03 16:05:00",0," None ",2011-06-03,154
48.975,-124.89,60," 2011-06-03 16:10:00",0," None ",2011-06-03,154
41.1,-122.85,60," 2011-06-03 16:10:00",0," None ",2011-06-03,154
41.06,-122.75,60," 2011-06-03 16:12:30",0," None ",2011-06-03,154
41.03,-122.9,36," 2011-06-03 16:15:00",0," None ",2011-06-03,154
41.01,-122.85,36.5," 2011-06-03 16:25:00",0," None ",2011-06-03,154
41,-122.61,56," 2011-06-03 16:27:30",0," None ",2011-06-03,154
41,-122.75,35," 2011-06-03 16:30:00",0," None ",2011-06-03,154
41.01,-122.76,35.5," 2011-06-03 16:32:30",0," None ",2011-06-03,154
41.03,-122.79,35," 2011-06-03 16:35:00",0," None ",2011-06-03,154
41.03,-122.82,40.5," 2011-06-03 16:37:30",0," None ",2011-06-03,154
40.98,-122.68,49," 2011-06-03 16:40:00",0," None ",2011-06-03,154
41.03,-122.7,39," 2011-06-03 16:42:30",0," None ",2011-06-03,154
41.01,-122.81,25," 2011-06-03 16:47:30",0," None ",2011-06-03,154
40.98,-122.66,50," 2011-06-03 16:50:00",0," None ",2011-06-03,154
41.035,-122.88,28.5," 2011-06-03 16:52:30",0," None ",2011-06-03,154
41.075,-122.86,37," 2011-06-03 16:55:00",0," None ",2011-06-03,154
41.045,-122.685,52," 2011-06-03 17:10:00",0," None ",2011-06-03,154
41.04,-122.9,35.5," 2011-06-03 17:12:30",0," None ",2011-06-03,154
41.07,-122.98,20," 2011-06-03 17:15:00",0," None ",2011-06-03,154
41.04,-122.75,38.5," 2011-06-03 17:25:00",0," None ",2011-06-03,154
41.045,-122.72,40," 2011-06-03 17:27:30",0," None ",2011-06-03,154
41.025,-122.75,50," 2011-06-03 17:30:00",0," None ",2011-06-03,154
41.06,-122.81,32," 2011-06-03 17:35:00",0," None ",2011-06-03,154
